acl 2.2.52-4
adobe-source-code-pro-fonts 2.030ro+1.050it-4
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
android-tools 8.1.0_r7-1
ansible 2.5.2-1
arandr 0.1.9-2
arc-gtk-theme 20180114-1
archlinux-keyring 20180404-1
argon2 20171227-3
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
attr 2.4.47-3
audiofile 0.3.6-4
augeas 1.10.1-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
babl 0.1.46-2
bash 4.4.019-1
bdf-unifont 10.0.07-1
binutils 2.30-4
bison 3.0.4-3
bluez-libs 5.49-3
boost-libs 1.66.0-2
bridge-utils 1.6-2
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
calcurse 4.3.0-1
cantarell-fonts 1:0.101-1
cdrtools 3.02a09-1
celt0.5.1 0.5.1.3-3
ceph-libs 12.2.5-1
chromium 66.0.3359.170-1
cifs-utils 6.7-2
cmake 3.11.1-1
colord 1.4.3-1
compton 0.1_beta2.5-11
confuse 3.2.1-1
coreutils 8.29-1
cpio 2.12-3
cpupower 4.16-1
cracklib 2.9.6-1
cryptsetup 2.0.3-1
ctags 5.8-5
cuda 9.2.88.1-2
cudnn 7.1.4-1
curl 7.59.0-2
davfs2 1.5.4-1
db 5.3.28-3
dbus 1.12.8-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
ding-libs 0.6.1-1
dmenu 4.8-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
docker 1:18.04.0-1
double-conversion 3.0.0-1
dunst 1.3.1-1
e2fsprogs 1.44.1-1
expat 2.2.5-1
extra-cmake-modules 5.45.0-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.26-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
file 5.33-1
filesystem 2018.1-2
filezilla 3.33.0-1
findutils 4.6.0-2
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.2-1
ftgl 2.1.3rc5-10
fuse-common 3.2.2-2
fuse2 2.9.7-4
fzf 0.17.3-2
gamin 0.1.10-8
gawk 4.2.1-1
gc 7.6.4-1
gcc 8.1.1+20180531-1
gcc-libs 8.1.1+20180531-1
gcc54 5.4.1-1
gcc7 7.3.1+20180406-2
gcc7-libs 7.3.1+20180406-2
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gegl02 0.2.0-8
gettext 0.19.8.1-2
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.17.0-1
glew 2.1.0-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glib2-docs 2.56.1-1
glibc 2.27-3
glu 9.0.0-4
gmp 6.1.2-1
gnupg 2.2.6-1
gnutls 3.5.18-1
gperf 3.1-1
gperftools 2.6.2-1
gpgme 1.11.1-1
gphoto2 2.5.17-1
gpm 1.20.7-8
graphite 1:1.3.11-1
graphviz 2.40.1-11
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-5
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsm 1.0.17-1
gssproxy 0.8.0-1
gst-plugins-base-libs 1.14.0-1
gstreamer 1.14.0-1
gtk-doc 1.28-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
gts 0.7.6-3
gucharmap 10.0.4+3+gf63a9d95-1
guile 2.2.3-1
gvim 8.0.1815-1
gzip 1.9-1
harfbuzz 1.7.6-2
hdparm 9.56-1
hicolor-icon-theme 0.17-1
hivex 1.3.15-2
htop 2.2.0-2
http-parser 2.8.1-1
hwids 20171003-1
i3-gaps 4.15.0.1-2
i3blocks 1.4-6
i3lock 2.10-1
i3status 2.12-1
iana-etc 20180221-1
icu 61.1-1
iftop 1.0pre4-2
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
jemalloc 1:5.0.1-4
jfsutils 1.1.15-4
js52 52.7.3-2
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
lame 3.100-1
lcms 1.19-7
lcms2 2.9-1
ldb 1.3.2-1
ldns 1.7.0-4
less 530-1
leveldb 1.20-1
lib32-fakeroot 1.22-2
lib32-gcc-libs 8.1.1+20180531-1
lib32-glibc 2.27-3
lib32-libltdl 2.4.6+40+g6ca5e224-4
libaio 0.3.111-1
libao 1.2.2-2
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libbluray 1.0.2-1
libbsd 0.8.7-1
libcaca 0.99.beta19-1
libcacard 2.5.3-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.7-2
libdaemon 0.14-3
libdatrie 0.2.10-2
libdrm 2.4.91-3
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.5.1-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libffi 3.2.1-2
libfilezilla 0.12.2-1
libfontenc 1.1.3-1
libgcrypt 1.8.2-1
libgdiplus 5.6-1
libglade 2.6.4-5
libglvnd 1.0.0-1
libgme 0.6.2-1
libgpg-error 1.31-1
libgphoto2 2.5.17-1
libgudev 232-1
libguestfs 1.38.2-1
libgusb 0.2.11-1
libibus 1.5.18-1
libice 1.0.9-2
libid3tag 0.15.1b-8
libidn 1.34-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libinput 1.10.6-1
libjpeg-turbo 1.5.3-1
libkeybinder3 0.3.2-1
libksba 1.3.5-1
libldap 2.4.46-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.28-1
libmm-glib 1.8rc2+1+g7e949283-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libmpdclient 2.14-1
libmysqlclient 8.0.11-1
libndp 1.6-1
libnewt 0.52.20-1
libnfs 2.0.0-1
libnftnl 1.0.9-1
libnghttp2 1.31.1-1
